latitude,longitude
42.05039792736213,-87.68181180466354
42.05039792736213,-87.68181180466354
42.05039792736213,-87.68181180466354
42.05039792736213,-87.68181180466354
42.05699064764264,-87.67658222062244
42.05416105531477,-87.67719129476403
42.05699064764264,-87.67658222062244
42.057558846101344,-87.67675051245675
42.05762016082704,-87.67608071080369
42.05793244508004,-87.67563289286878
42.05811216613296,-87.67503332160302
42.05847812209998,-87.67464573606131
42.058978308962715,-87.67426427461922
42.05889138024836,-87.67439226551708
42.05926978565724,-87.67378056388226
42.05973257759683,-87.67368193008745
42.05926806338519,-87.67379898055032
42.059279610794825,-87.67381272669441
42.05907534890629,-87.6745174691774
42.059290815726605,-87.6739793592238
42.0589791541113,-87.6746957395573
42.05852990511376,-87.6744586048282
42.0585086450583,-87.67440975099503
42.05824017939785,-87.6738795517505
42.05876447594532,-87.67390228239816
42.058181105705536,-87.67398142096623
42.058479103601535,-87.67446479739897
42.05802389537542,-87.6754535934761
42.05788131320871,-87.67614081280338
42.057962662876015,-87.67677768560307
42.05749887826887,-87.67708299575825
42.05695807968688,-87.67703763353664
42.056459137419004,-87.67738530980148
42.05611981216969,-87.676946038111
42.055995765064715,-87.67694065431817
42.05536063995036,-87.67756430079609
42.05464415256125,-87.67746565871656
42.0542076794357,-87.67728597189412
42.053690757807836,-87.67736918598324
42.053202743256044,-87.67749959582778
42.05271229025066,-87.67731599290887
42.05147018429611,-87.67728839724165
42.052026939119784,-87.67809988701208
42.05169291229189,-87.6778591166023
42.05210792579374,-87.67894708985303
42.052101331026364,-87.67959130125199
42.05205905373534,-87.68034991031762
42.05216310582322,-87.68136099127966
42.05237818885786,-87.68153817401051
42.05233928067761,-87.68166620911657
42.05235040666671,-87.68169975385916
42.05237207006854,-87.68169667579949
